gakkai-0000000003	複合メディアを用いた学生実験指導システムの試み	本報は、大学工学部電気系学科における学生実験指導を支援する、パソコン通信による画像応答システムの概要について述べたものである。まず、本システムの構築に際しての基本的な考え方を示し、次にその目的を実現するモデル構成とその特長を活かした指導方法について述べる。
gakkai-0000000007	モンテカルロシミュレーションによる光天井をもつ無限長室内空間の照度分布計算	モンテカルロシミュレーション(MCS)による室内照度計算については,すでに検討を行ってきており,結果の一部を発表した。光源形状としては点あるいは直線光源を対象に照度分布を求めた。本文では現実に存在する光源に近づけるために光天井をもつ無限長室内空間の照度計算を行なった。4面の反射率が零のとき,理論式が導出され,これから求めた照度分布特性とMCSによる数値実験結果とがよく一致することがわかった。一方,壁面反射率が0.2,0.4および0.6に増加した場合の照度分布の模様がMCSによって算出された。その結果,天井面では側面における照度分布特性の影響を大きく受けて,中央部よりも両端部の照度の値が大きくなった。
gakkai-0000000010	積層構造モデルの反射光分布	平滑透明な薄板ガラスを密着積層した層中に光ファイバーを隙間なく規則的に配列した一層(円柱層)を設けて試料とし拡散反射光分布について検討した。直交ニコル下で測定したのでこの試料では層内拡散反射光分布が測定されその分布が正規分布に似ているので両者の適合度をX^2検定法により検定した。円柱の配列との関係もあるが、円柱層が表面からある深さ以上でその分布は正規分布に適合し、円柱層が深くなると共に分散の小さい正規分布に近づく。また、ここで使用した試料の層内拡散反射光分布が正規分布を示すのは主に入射光束とファイバーの引伸方向が直角の層によるものであることが判った。
gakkai-0000000013	非対称線形接続復元力(硬特性)を有する非自律系の周期解について(その30)	2階の非線形微分方程式の非対称復元力として、2本の直線よりなる系を考え、系に含まれる周期解を折点を通る回数で類別し、周期解を求める周期条件を初期値を含む型で表わし、安定性を吟味することにより、周期解の分岐点を定め、その点近傍での分岐現象について報告して来た。今回は、2周期系解の近傍に存在する7周期系の周期倍化分岐現象について考察し、分岐点近傍の解のふるまいと個数を明らかにすると共に、分岐が進行した後に現われるカオス現象についても吟味した。
gakkai-0000000016	Weierstrass楕円関数の母数変換とその数値計算	等角写像法の工学的応用に際しては、楕円関数が多用されるがワイエルシュトラスの楕円関数を用いるとき、その周期母数を1, 2等に変換する場合がでてくる。本研究は、その場合の変換公式を第3種楕円関数であるテータ関数を用いて簡単に導出している。また、この公式を用いて母数変換の数値計算を同じくテータ関数を用いておこない、小数以下10桁の精度があることを確かめ、工学的にこの方法が十分利用できることを示した。
gakkai-0000000019	演算増幅器によるイミタンス関数の実現と高域通過フィルタへの応用	演算増幅器の有限GB積を利用した一般的なイミタンス関数の実現回路について検討を行なったものである。まず、能動R形式の場合において駆動点アドミタンスが零次から最高次までの各素子の並列接続により表現される回路を提案している。そして提案回路の応用例として能動R2次高域通過フィルタの構成法を示している。この回路は、特に抵抗分圧回路の分圧比の仮定により、QがGB積の影響を受けない構成となっている。また、GB積ならびに各受動素子に対するQ,Woの素子感度を計算し低素子感度であることも示している。
gakkai-0000000022	FIRディジタルフィルタの設計	等リップル化FIRディジタルフィルタの直接法によるフィルタ係数の数値解法を報告する。通過,阻止域端の周波数,リップル幅比,サンプリング周期,要素数を設定するが、初めに周波数域に窓関数を使用し、リップル幅の不等を緩和,かつ両域のリップル数,連立N.R.の出発値を定める。N.R.法は初めに遷移域内の一点を通る等リップル特性を得て:リップル幅を増減して通過域端を含む特性を得た後、さらにリップル幅を増減して通過,阻止域端を含む等リップル特性を得る。以上のN.R.法において逐次近接により処理を行なう。
gakkai-0000000025	反磁界係数の改称の提言	筆者はすでに反磁界係数を便宜的な概念である反磁界とは無関係に取り扱うべき性質の係数と考え、それに「検出磁束減少率という物理的に誤解のない仮称を与えている。本稿では、あらためて提言理由にふれ、強磁性体と超電導体(反磁性体)の試料の長短による磁化の難易は全く逆であることに注目し、超電導体の取扱いでは反磁界が外部磁界と同方向に働くとされていることから生ずる混乱の一端を指摘した。反磁界の便宜性と反磁界係数の改称の必要性が同時に認識されると、従来の議論の混乱は収拾されてゆくことが期待できる。反磁界を使いたい人が仮称(検出磁束減少率)に反磁界係数という別名を与えて議論しているという程に認識する必要がある。
gakkai-0000000029	異方性誘電率を有する複合誘電体のPotential分布	誘電率に異方性のある複合誘電体の角点における電位分布(電界分布)を解析的に求めている。 二次元静電界を対象とし、電位を調和関数展開により記述して、その固有値を決定する固有値方程式を専出している。 電界特異性を表わす最少の固有値について異方性の主軸方向の影響、最少の固有値と次に大きな固有値が表わす電位分布を示し、それ等の分布がそれぞれ異る主軸方向の誘電率に支配されることを示す。 合わせて この理論の数値解析への応用について若干述べている。
gakkai-0000000032	電磁界の物理的概念と地磁気の解釈	筆者はマクスウエル電磁場方程式が電磁界解析に対し十分条件を満たしていないと考え、電磁現象を波動伝播ではなく電磁エネルギーの光速度伝播現象として捉え、必要十分条件を満たす空間瞬時電磁界ベクトル解析式を提唱する。本解析式の意味は静電界と呼ばれる一定直流電界中における磁界検出実験によって明らかにされたと考える。本論文では、電磁エネルギーを放射電源から放射された瞬時に真空の実在空間を光速度で伝播する固有の性質を持った物理量で、その伝播には伝播媒質が不要であると定義づけて、この電磁エネルギーと質量との等価性ならびに地磁気が電磁エネルギーの反射現象として解釈できることを論じる。
